Trip_ID	LengthInFeet	DurationInSeconds	TotalAverageSpeed
18133540_2008-05-03 18:25:20.000:	1785.86	816	2.18856
18133676_2008-05-03 18:27:52.000:	2297.9	1601	1.43529
18133899_2008-05-03 18:29:05.000:	2550.85	2109	1.2095
18133641_2008-05-03 18:29:32.000:	1078.14	563	1.91499
18133555_2008-05-03 18:32:19.000:	1228.77	985	1.24748
18133766_2008-05-03 18:32:21.000:	1421.34	886	1.60422
18133402_2008-05-03 18:33:19.000:	1389.67	695	1.99953
18133750_2008-05-03 18:37:02.000:	4454.05	2594	1.71706
18133841_2008-05-03 18:38:54.000:	696.64	301	2.31442
18133558_2008-05-03 18:43:12.000:	1159.93	782	1.48329
18133754_2008-05-03 18:45:01.000:	2135.18	1169	1.8265
18133422_2008-05-03 18:52:15.000:	1586.25	853	1.85962
18133766_2008-05-03 18:53:55.000:	1794.88	988	1.81668
18133749_2008-05-03 18:56:07.000:	2640.71	1384	1.90803
18132914_2008-05-03 19:04:08.000:	946.103	638	1.48292
18133553_2008-05-03 19:05:08.000:	1939.19	1079	1.79721
18132961_2008-05-03 19:06:05.000:	1622.8	1306	1.24257
18133169_2008-05-03 19:07:26.000:	1383.81	898	1.54099
18133926_2008-05-03 19:11:01.000:	1585.92	1061	1.49474
18134009_2008-05-03 19:15:01.000:	723.492	405	1.7864
18133438_2008-05-03 19:18:31.000:	3240.43	1958	1.65497
18133638_2008-05-03 19:21:52.000:	2291.72	1517	1.51069
18132961_2008-05-03 19:23:55.000:	1450.72	698	2.07839
18133517_2008-05-03 19:29:09.000:	1318.74	1028	1.28282
18133417_2008-05-03 19:29:50.000:	1409.08	894	1.57615
18133406_2008-05-03 19:30:39.000:	2332.09	1483	1.57255
18133757_2008-05-03 19:33:53.000:	782.029	451	1.73399
18133736_2008-05-03 19:35:20.000:	5221.24	4024	1.29752
18133412_2008-05-03 19:38:48.000:	2495.9	1380	1.80862
18133199_2008-05-03 19:41:01.000:	1063.9	664	1.60226
18133623_2008-05-03 19:46:54.000:	1703.41	1117	1.52498
18133610_2008-05-03 19:53:20.000:	2539.51	1527	1.66307
18133170_2008-05-03 19:54:29.000:	794.097	424	1.87287
18133676_2008-05-03 19:54:34.000:	944.353	535	1.76515
18133700_2008-05-03 19:55:36.000:	1316.42	682	1.93023
18133653_2008-05-03 19:58:26.000:	1304.4	525	2.48458
18133172_2008-05-03 20:09:24.000:	1250.86	788	1.58738
18133737_2008-05-03 20:09:26.000:	1058.74	623	1.69943
18133754_2008-05-03 20:11:19.000:	1280.52	725	1.76623
18133165_2008-05-03 20:11:57.000:	2048.69	1570	1.3049
18133410_2008-05-03 20:17:31.000:	776.549	512	1.5167
18133516_2008-05-03 20:18:54.000:	1119.13	646	1.73239
18133859_2008-05-03 20:22:06.000:	1446.62	759	1.90596
18133700_2008-05-03 20:22:32.000:	1784.81	1054	1.69337
18133408_2008-05-03 20:26:23.000:	1327.83	646	2.05546
18133624_2008-05-03 20:27:27.000:	1323.13	828	1.59799
18132914_2008-05-03 20:42:29.000:	2498.91	1829	1.36627
18133549_2008-05-04 08:42:15.000:	3463.19	2168	1.59741
18133771_2008-05-04 08:44:28.000:	1348	651	2.07066
18133624_2008-05-04 08:45:40.000:	1269.88	690	1.84041
18133412_2008-05-04 08:48:10.000:	898.248	529	1.69801
18133555_2008-05-04 08:48:36.000:	1425.42	757	1.88299
18132914_2008-05-04 08:52:53.000:	3057.13	2153	1.41994
18133540_2008-05-04 09:11:49.000:	1340.02	773	1.73353
18133899_2008-05-18 12:03:19.000>:	4160.33	3353	1.24078
18133926_2008-05-18 12:07:09.000:	1573.55	1457	1.07999
18133737_2008-05-18 12:07:48.000:	895.5	381	2.35039
18133402_2008-05-18 12:10:20.000:	1455.86	611	2.38274
18132961_2008-05-18 12:10:44.000:	3475.78	2295	1.5145
18133760_2008-05-18 12:12:18.000:	2099.99	1510	1.39072
18133671_2008-05-18 12:13:38.000:	1083.46	813	1.33267
18133676_2008-05-18 12:15:27.000:	1371	813	1.68635
18133625_2008-05-18 12:17:20.000:	2304.23	1386	1.6625
18133172_2008-05-18 12:17:42.000:	2378.09	1408	1.68898
18133771_2008-05-18 12:18:18.000:	1046.28	553	1.89201
18133410_2008-05-18 12:18:48.000:	1161.62	641	1.81219
18133736_2008-05-18 12:20:39.000:	1112.5	750	1.48333
18133857_2008-05-18 12:20:54.000:	765.872	525	1.4588
18133841_2008-05-18 12:21:54.000:	2854.64	1966	1.45201
18133522_2008-05-18 12:22:16.000:	1911.17	1188	1.60873
18133624_2008-05-18 12:23:21.000:	1658.74	861	1.92652
18133754_2008-05-18 12:27:37.000:	4310.3	2717	1.58642
18133859_2008-05-18 12:28:44.000:	1033.06	484	2.13442
18133642_2008-05-18 12:29:21.000:	3180.53	2409	1.32027
18133558_2008-05-18 12:29:36.000:	1293.94	1035	1.25019
18133438_2008-05-18 12:31:15.000:	2744.69	2232	1.2297
18133555_2008-05-18 12:31:59.000:	1655.87	907	1.82566
18133169_2008-05-18 12:32:53.000:	1719.79	1074	1.60129
18133407_2008-05-18 12:33:03.000:	2112.79	1578	1.3389
18133676_2008-05-18 12:33:33.000:	1046.09	427	2.44986
18133637_2008-05-18 12:37:53.000:	3570.44	2453	1.45554
18133750_2008-05-18 12:43:42.000:	886.683	515	1.72171
18133641_2008-05-18 12:46:32.000:	781.734	380	2.05719
18133142_2008-05-18 12:48:12.000:	1585.77	765	2.0729
18133670_2008-05-18 12:50:11.000:	2069.33	1168	1.77169
18133422_2008-05-18 12:52:07.000:	1106.93	661	1.67463
18133653_2008-05-18 12:54:46.000:	2062.22	1386	1.48789
18133438_2008-05-18 12:55:38.000:	1229.15	1003	1.22547
18133760_2008-05-18 12:57:11.000:	1874.25	1261	1.48632
18133165_2008-05-18 13:05:21.000:	843.81	429	1.96692
