UPC	Description	Categories (self defined)	Department	Price	Categories (self defined)	Category Ave Price 
00004139001110	KIKKOMAN TERIYAKI BASTE/G	CONDIMENTS/SAUCES/SPREADS	GROCERY	$2.99 		2.655238095
00004150000025	FRENCHS SQUEEZE MUSTARD P	CONDIMENTS/SAUCES/SPREADS	GROCERY	$2.59 		2.655238095
00004156500017	PACE PICNTE SC MLD	CONDIMENTS/SAUCES/SPREADS	GROCERY	$3.69 		2.655238095
00004156514116	PACE SLSA THK/CHNKY MED	CONDIMENTS/SAUCES/SPREADS	GROCERY	$2.99 		2.655238095
00004182006050	S/FELD HM/STL DILL PICKLE	CONDIMENTS/SAUCES/SPREADS	GROCERY	$5.99 		2.655238095
00005210009180	MCCORMICK BURRITO SEASONI	CONDIMENTS/SAUCES/SPREADS	GROCERY	$0.99 		2.655238095
00005210027462	MCCORMICK GUACMLE SEA MIX	CONDIMENTS/SAUCES/SPREADS	GROCERY	$0.99 		2.655238095
00007210104650	LA VIC DICED GREEN CHILES	CONDIMENTS/SAUCES/SPREADS	GROCERY	$2.19 		2.655238095
00007299949303	BLK PEARL SLC FLAT OLIVES	CONDIMENTS/SAUCES/SPREADS	GROCERY	$3.00 		2.655238095
00007321000230	STAR ITL KTCHN RD WN VNGR	CONDIMENTS/SAUCES/SPREADS	GROCERY	$2.99 		2.655238095
00001540020080	WF SLEEK SML CURD CC	DAIRY	DAIRY	$2.19 		$2.51 
00001540020217	WF HOMO MILK UP	DAIRY	DAIRY	$1.59 		2.51
00001540020218	WF 2% MILK UP	DAIRY	DAIRY	$1.59 		2.51
00001540020248	W/F 2 % LOW FAT N/R JUG	DAIRY	DAIRY	$3.49 		2.51
00002640022760	DG HALF & HALF UP	DAIRY	DAIRY	$2.45 		2.51
00007092400010	ALPENROSE WHIP CREAM	DAIRY	DAIRY	$2.39 		2.51
